vehicle_type,fault_code,vehicle_age_months,mileage_km,prior_services,technician_notes,replaced_part,root_cause
ICE,P0141,8,23857,3,"No prior complaints, code triggered during diagnostic scan. o2 sensor heater fault confirmed on teardown.",O2 sensor,O2 sensor heater fault
Scooter,P0171,36,46448,4,Bike came in with unusual noise. fuel pump weak suspected after inspection.,Fuel pump,Fuel pump weak
ICE,P0700,38,34173,3,"No prior complaints, code triggered during diagnostic scan. gear sensor fault confirmed on teardown.",Gear sensor,Gear sensor fault
Scooter,P0325,41,7016,0,Bike came in with unusual noise. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0340,55,39258,5,"Customer reported warning light on dash. Checked cam position sensor, found issue consistent with cam position sensor fault.",Cam position sensor,Cam position sensor fault
Scooter,P0730,45,37658,4,Routine service flagged reduced range. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0087,7,48327,6,"No prior complaints, code triggered during diagnostic scan. fuel pressure regulator fault confirmed on teardown.",Fuel pressure regulator,Fuel pressure regulator fault
ICE,P0088,15,12975,1,Routine service flagged rough idling. Root cause traced to fuel pressure regulator fault.,Fuel pressure regulator,Fuel pressure regulator fault
ICE,P0100,41,49037,6,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0191,48,45668,5,Bike came in with reduced range. fuel pressure sensor fault suspected after inspection.,Fuel pressure sensor,Fuel pressure sensor fault
Scooter,P0730,42,33385,3,Bike came in with power loss on acceleration. transmission control fault suspected after inspection.,TCU,Transmission control fault
ICE,P0110,48,20329,3,"No prior complaints, code triggered during diagnostic scan. iat sensor fault confirmed on teardown.",IAT sensor,IAT sensor fault
EV,EV0310,42,40844,5,Routine service flagged unusual noise. Root cause traced to charging port fault.,Charging port,Charging port fault
ICE,P0442,8,16139,3,Routine service flagged rough idling. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
EV,EV0501,47,31818,2,"Customer reported unusual noise. Checked dc-dc converter, found issue consistent with dc-dc converter fault.",DC-DC converter,DC-DC converter fault
Scooter,P0715,54,25041,4,Routine service flagged rough idling. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,B1318,12,13203,1,Routine service flagged rough idling. Root cause traced to 12v battery weak.,12V battery,12V battery weak
Scooter,P0130,8,29275,3,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0304,14,42842,6,Routine service flagged reduced range. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
ICE,P0455,48,2589,1,"No prior complaints, code triggered during diagnostic scan. evap purge valve fault confirmed on teardown.",EVAP purge valve,EVAP purge valve fault
Scooter,P0172,52,48982,5,Routine service flagged reduced range. Root cause traced to fuel injector stuck open.,Fuel injector,Fuel injector stuck open
Scooter,P0301,34,50278,6,"Customer reported unusual noise. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
Scooter,P0340,53,49370,5,Bike came in with warning light on dash. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
EV,EV0501,32,34714,5,Bike came in with rough idling. dc-dc converter fault suspected after inspection.,DC-DC converter,DC-DC converter fault
Scooter,P0301,45,1565,0,Bike came in with warning light on dash. fuel injector clog suspected after inspection.,Fuel injector,Fuel injector clog
Scooter,P0130,13,12232,1,Routine service flagged unusual noise. Root cause traced to oxygen sensor fault.,O2 sensor,Oxygen sensor fault
Scooter,P0110,43,31269,4,"No prior complaints, code triggered during diagnostic scan. iat sensor fault confirmed on teardown.",IAT sensor,IAT sensor fault
ICE,P0100,36,50314,6,Bike came in with warning light on dash. maf sensor dirty suspected after inspection.,MAF sensor,MAF sensor dirty
ICE,P0105,56,43351,4,Bike came in with battery draining fast. map sensor fault suspected after inspection.,MAP sensor,MAP sensor fault
Scooter,P0191,46,48040,6,"Customer reported slow charging. Checked fuel pressure sensor, found issue consistent with fuel pressure sensor fault.",Fuel pressure sensor,Fuel pressure sensor fault
Scooter,P0455,15,614,0,"No prior complaints, code triggered during diagnostic scan. evap purge valve fault confirmed on teardown.",EVAP purge valve,EVAP purge valve fault
ICE,P0110,53,7100,0,Routine service flagged power loss on acceleration. Root cause traced to iat sensor fault.,IAT sensor,IAT sensor fault
ICE,P0191,5,27701,4,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,EV0311,28,3133,0,"Customer reported power loss on acceleration. Checked main contactor, found issue consistent with main contactor fault.",Main contactor,Main contactor fault
ICE,P0325,45,35458,5,Bike came in with slow charging. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
EV,EV0311,44,27157,3,Bike came in with slow charging. main contactor fault suspected after inspection.,Main contactor,Main contactor fault
Scooter,P0302,45,22117,3,Bike came in with power loss on acceleration. ignition coil fault suspected after inspection.,Ignition coil,Ignition coil fault
ICE,P0620,56,3503,0,Routine service flagged unusual noise. Root cause traced to alternator fault.,Alternator,Alternator fault
Scooter,P0191,14,33242,4,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0230,30,20789,1,"Customer reported warning light on dash. Checked fuel pump relay, found issue consistent with fuel pump relay fault.",Fuel pump relay,Fuel pump relay fault
EV,EV0101,37,7870,0,Bike came in with battery draining fast. thermal sensor fault suspected after inspection.,Thermal sensor,Thermal sensor fault
EV,EV0412,52,33494,5,"Customer reported battery draining fast. Checked hv wiring/insulation, found issue consistent with hv isolation fault.",HV wiring/insulation,HV isolation fault
ICE,P0088,10,55273,5,"Customer reported power loss on acceleration. Checked fuel pressure sensor, found issue consistent with fuel pressure sensor fault.",Fuel pressure sensor,Fuel pressure sensor fault
Scooter,P0088,34,56823,8,"Customer reported rough idling. Checked fuel pressure sensor, found issue consistent with fuel pressure sensor fault.",Fuel pressure sensor,Fuel pressure sensor fault
Scooter,P0730,21,28769,3,Bike came in with reduced range. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0191,38,33344,5,"No prior complaints, code triggered during diagnostic scan. fuel pressure sensor fault confirmed on teardown.",Fuel pressure sensor,Fuel pressure sensor fault
EV,EV0412,21,46444,4,"No prior complaints, code triggered during diagnostic scan. hv isolation fault confirmed on teardown.",HV wiring/insulation,HV isolation fault
Scooter,P0141,2,10393,0,Routine service flagged reduced range. Root cause traced to o2 sensor heater fault.,O2 sensor,O2 sensor heater fault
Scooter,P0730,26,52997,6,Bike came in with warning light on dash. transmission control fault suspected after inspection.,TCU,Transmission control fault
EV,EV0311,35,28989,2,"No prior complaints, code triggered during diagnostic scan. main contactor fault confirmed on teardown.",Main contactor,Main contactor fault
Scooter,P0304,19,941,0,Bike came in with unusual noise. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
ICE,P0480,6,19546,1,Bike came in with warning light on dash. cooling fan fault suspected after inspection.,Cooling fan,Cooling fan fault
ICE,P0420,56,36726,5,"No prior complaints, code triggered during diagnostic scan. catalytic converter worn confirmed on teardown.",Catalytic converter,Catalytic converter worn
ICE,P0620,11,20077,1,"Customer reported slow charging. Checked alternator, found issue consistent with alternator fault.",Alternator,Alternator fault
Scooter,P0720,47,57261,7,Bike came in with reduced range. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0172,52,6133,0,Routine service flagged rough idling. Root cause traced to fuel pressure regulator fault.,Fuel pressure regulator,Fuel pressure regulator fault
ICE,P0105,15,31642,2,"Customer reported rough idling. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0135,11,12260,1,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,EV0501,7,26364,3,Bike came in with warning light on dash. dc-dc converter fault suspected after inspection.,DC-DC converter,DC-DC converter fault
ICE,P0171,33,6318,0,Routine service flagged power loss on acceleration. Root cause traced to maf sensor dirty.,MAF sensor,MAF sensor dirty
Scooter,P0304,9,15886,1,Bike came in with power loss on acceleration. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
ICE,P0480,46,46246,4,Routine service flagged battery draining fast. Root cause traced to cooling fan fault.,Cooling fan,Cooling fan fault
Scooter,P0135,51,4098,0,Bike came in with rough idling. o2 sensor heater fault suspected after inspection.,O2 sensor,O2 sensor heater fault
ICE,P0230,10,30962,4,"Customer reported unusual noise. Checked fuel pump relay, found issue consistent with fuel pump relay fault.",Fuel pump relay,Fuel pump relay fault
ICE,P0110,14,32145,3,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0420,23,23185,1,"No prior complaints, code triggered during diagnostic scan. oxygen sensor fault confirmed on teardown.",O2 sensor,Oxygen sensor fault
Scooter,P0730,9,55224,7,"No prior complaints, code triggered during diagnostic scan. transmission control fault confirmed on teardown.",TCU,Transmission control fault
ICE,P0135,1,53769,5,Bike came in with rough idling. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0335,60,18769,2,Routine service flagged reduced range. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0563,36,37348,4,"Customer reported rough idling. Checked voltage regulator, found issue consistent with voltage regulator fault.",Voltage regulator,Voltage regulator fault
Scooter,P0105,49,14644,2,"No prior complaints, code triggered during diagnostic scan. map sensor fault confirmed on teardown.",MAP sensor,MAP sensor fault
ICE,P0340,26,32313,5,"Customer reported warning light on dash. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,EV0311,34,511,1,"Customer reported rough idling. Checked main contactor, found issue consistent with main contactor fault.",Main contactor,Main contactor fault
ICE,P0141,24,2395,1,"Customer reported slow charging. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0115,11,38102,4,Bike came in with slow charging. coolant temp sensor fault suspected after inspection.,Coolant temp sensor,Coolant temp sensor fault
EV,EV0412,57,12680,0,Bike came in with reduced range. hv isolation fault suspected after inspection.,HV wiring/insulation,HV isolation fault
ICE,P0115,45,13959,0,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0303,46,12446,1,Bike came in with battery draining fast. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
ICE,P0172,13,18037,1,"No prior complaints, code triggered during diagnostic scan. fuel pressure regulator fault confirmed on teardown.",Fuel pressure regulator,Fuel pressure regulator fault
EV,EV0501,50,53215,6,Bike came in with battery draining fast. dc-dc converter fault suspected after inspection.,DC-DC converter,DC-DC converter fault
ICE,P0105,58,38920,5,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0301,28,9906,2,"No prior complaints, code triggered during diagnostic scan. spark plug worn confirmed on teardown.",Spark plug,Spark plug worn
Scooter,P0115,9,12484,1,Routine service flagged power loss on acceleration. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,P0507,43,41312,4,Bike came in with reduced range. idle air control valve fault suspected after inspection.,Idle air control valve,Idle air control valve fault
Scooter,P0562,22,35183,5,"No prior complaints, code triggered during diagnostic scan. wiring corrosion confirmed on teardown.",Wiring harness,Wiring corrosion
ICE,P0230,45,26570,3,Bike came in with warning light on dash. fuel pump relay fault suspected after inspection.,Fuel pump relay,Fuel pump relay fault
Scooter,P0563,4,13663,0,Routine service flagged power loss on acceleration. Root cause traced to alternator fault.,Alternator,Alternator fault
Scooter,P0303,49,19469,2,"No prior complaints, code triggered during diagnostic scan. ignition coil fault confirmed on teardown.",Ignition coil,Ignition coil fault
Scooter,P0720,35,42159,4,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0620,59,57403,6,Routine service flagged warning light on dash. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,P0455,45,10466,2,"Customer reported slow charging. Checked evap hose/canister, found issue consistent with evap system leak.",EVAP hose/canister,EVAP system leak
Scooter,P0340,52,37935,3,Bike came in with slow charging. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0507,31,4570,0,"No prior complaints, code triggered during diagnostic scan. throttle body dirty confirmed on teardown.",Throttle body,Throttle body dirty
ICE,P0420,2,619,0,"No prior complaints, code triggered during diagnostic scan. oxygen sensor fault confirmed on teardown.",O2 sensor,Oxygen sensor fault
EV,EV0311,11,51166,7,Bike came in with unusual noise. main contactor fault suspected after inspection.,Main contactor,Main contactor fault
Scooter,P0301,21,15635,1,Routine service flagged unusual noise. Root cause traced to ignition coil fault.,Ignition coil,Ignition coil fault
Scooter,P0115,5,50293,7,Bike came in with rough idling. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0141,36,23740,1,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0100,37,36864,3,Bike came in with warning light on dash. maf sensor dirty suspected after inspection.,MAF sensor,MAF sensor dirty
Scooter,P0440,54,54670,5,"Customer reported battery draining fast. Checked evap purge valve, found issue consistent with evap purge valve fault.",EVAP purge valve,EVAP purge valve fault
Scooter,B1318,21,45053,6,Bike came in with reduced range. 12v battery weak suspected after inspection.,12V battery,12V battery weak
Scooter,P0620,57,31622,4,Routine service flagged battery draining fast. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0335,50,15151,0,Bike came in with power loss on acceleration. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0620,7,45382,4,"Customer reported power loss on acceleration. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0440,16,17405,2,Bike came in with unusual noise. evap system leak suspected after inspection.,EVAP hose/canister,EVAP system leak
ICE,P0110,22,37795,5,Routine service flagged warning light on dash. Root cause traced to iat sensor fault.,IAT sensor,IAT sensor fault
Scooter,P0420,21,1678,0,"Customer reported battery draining fast. Checked exhaust gasket, found issue consistent with exhaust leak.",Exhaust gasket,Exhaust leak
Scooter,P0335,42,39876,3,"Customer reported slow charging. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0302,30,53985,7,Bike came in with warning light on dash. ignition coil fault suspected after inspection.,Ignition coil,Ignition coil fault
EV,EV0501,39,45888,4,Bike came in with reduced range. dc-dc converter fault suspected after inspection.,DC-DC converter,DC-DC converter fault
ICE,P0171,1,22092,3,"No prior complaints, code triggered during diagnostic scan. vacuum leak confirmed on teardown.",Vacuum hose,Vacuum leak
EV,P0A80,53,3409,1,Routine service flagged battery draining fast. Root cause traced to cell voltage imbalance.,Battery module,Cell voltage imbalance
Scooter,P0300,57,13441,1,Routine service flagged battery draining fast. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
EV,B1318,50,48803,6,Bike came in with slow charging. 12v battery weak suspected after inspection.,12V battery,12V battery weak
Scooter,P0480,10,19881,2,Bike came in with rough idling. cooling fan fault suspected after inspection.,Cooling fan,Cooling fan fault
EV,EV0311,3,38351,3,"No prior complaints, code triggered during diagnostic scan. main contactor fault confirmed on teardown.",Main contactor,Main contactor fault
Scooter,P0191,12,29357,2,Bike came in with unusual noise. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0440,41,39114,5,Bike came in with warning light on dash. evap purge valve fault suspected after inspection.,EVAP purge valve,EVAP purge valve fault
ICE,P0130,27,9698,0,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0335,28,13446,2,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,EV0412,49,58033,6,Routine service flagged warning light on dash. Root cause traced to hv isolation fault.,HV wiring/insulation,HV isolation fault
ICE,P0088,17,7677,1,Routine service flagged warning light on dash. Root cause traced to fuel pressure sensor fault.,Fuel pressure sensor,Fuel pressure sensor fault
Scooter,P0480,11,13590,2,"No prior complaints, code triggered during diagnostic scan. cooling fan fault confirmed on teardown.",Cooling fan,Cooling fan fault
Scooter,P0562,16,17299,3,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring corrosion.",Wiring harness,Wiring corrosion
EV,EV0205,25,58045,7,"Customer reported rough idling. Checked motor phase wiring, found issue consistent with motor phase wiring fault.",Motor phase wiring,Motor phase wiring fault
Scooter,P0507,21,11619,2,Routine service flagged reduced range. Root cause traced to idle air control valve fault.,Idle air control valve,Idle air control valve fault
EV,EV0204,5,15233,0,Bike came in with power loss on acceleration. motor controller overheat suspected after inspection.,Motor controller,Motor controller overheat
Scooter,P0442,57,25713,3,Routine service flagged warning light on dash. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
ICE,P0440,1,20238,1,"No prior complaints, code triggered during diagnostic scan. evap system leak confirmed on teardown.",EVAP hose/canister,EVAP system leak
EV,EV0412,56,30561,3,"Customer reported rough idling. Checked hv wiring/insulation, found issue consistent with hv isolation fault.",HV wiring/insulation,HV isolation fault
Scooter,P0141,37,39998,5,"Customer reported battery draining fast. Checked o2 sensor, found issue consistent with o2 sensor heater fault.",O2 sensor,O2 sensor heater fault
Scooter,P0100,9,40328,6,Routine service flagged warning light on dash. Root cause traced to maf sensor dirty.,MAF sensor,MAF sensor dirty
Scooter,P0303,7,1691,1,"No prior complaints, code triggered during diagnostic scan. fuel injector clog confirmed on teardown.",Fuel injector,Fuel injector clog
ICE,P0230,43,14826,0,Routine service flagged slow charging. Root cause traced to fuel pump relay fault.,Fuel pump relay,Fuel pump relay fault
Scooter,P0440,57,34948,4,"No prior complaints, code triggered during diagnostic scan. evap purge valve fault confirmed on teardown.",EVAP purge valve,EVAP purge valve fault
Scooter,P0480,58,6108,1,Bike came in with unusual noise. cooling fan fault suspected after inspection.,Cooling fan,Cooling fan fault
Scooter,P0715,13,12715,1,"Customer reported battery draining fast. Checked input speed sensor, found issue consistent with input speed sensor fault.",Input speed sensor,Input speed sensor fault
ICE,P0100,39,37090,3,Bike came in with unusual noise. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0300,8,27159,4,"No prior complaints, code triggered during diagnostic scan. fuel injector clog confirmed on teardown.",Fuel injector,Fuel injector clog
EV,EV0102,1,33604,4,Routine service flagged slow charging. Root cause traced to regen braking control fault.,Regen braking controller,Regen braking control fault
Scooter,B1318,36,17925,3,"No prior complaints, code triggered during diagnostic scan. 12v battery weak confirmed on teardown.",12V battery,12V battery weak
ICE,P0230,25,10555,1,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0088,41,56592,8,Bike came in with reduced range. fuel pressure regulator fault suspected after inspection.,Fuel pressure regulator,Fuel pressure regulator fault
Scooter,P0715,2,20257,3,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0700,57,34823,5,"No prior complaints, code triggered during diagnostic scan. gear sensor fault confirmed on teardown.",Gear sensor,Gear sensor fault
Scooter,P0715,34,42054,4,Routine service flagged unusual noise. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
EV,EV0412,12,16149,3,"Customer reported power loss on acceleration. Checked hv wiring/insulation, found issue consistent with hv isolation fault.",HV wiring/insulation,HV isolation fault
ICE,P0115,25,17322,3,"No prior complaints, code triggered during diagnostic scan. coolant temp sensor fault confirmed on teardown.",Coolant temp sensor,Coolant temp sensor fault
ICE,P0562,40,16858,2,Bike came in with unusual noise. wiring corrosion suspected after inspection.,Wiring harness,Wiring corrosion
Scooter,P0705,9,20280,3,Bike came in with reduced range. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0720,15,9141,0,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0172,21,59418,6,Routine service flagged power loss on acceleration. Root cause traced to fuel injector stuck open.,Fuel injector,Fuel injector stuck open
EV,B1318,5,19160,3,"Customer reported reduced range. Checked 12v battery, found issue consistent with 12v battery weak.",12V battery,12V battery weak
Scooter,P0302,45,59204,7,Routine service flagged unusual noise. Root cause traced to fuel injector clog.,Fuel injector,Fuel injector clog
Scooter,P0105,44,40851,6,"Customer reported warning light on dash. Checked map sensor, found issue consistent with map sensor fault.",MAP sensor,MAP sensor fault
Scooter,P0100,45,38939,3,Bike came in with unusual noise. maf sensor dirty suspected after inspection.,MAF sensor,MAF sensor dirty
Scooter,P0301,2,1670,0,Bike came in with battery draining fast. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
ICE,P0440,27,21022,2,"Customer reported slow charging. Checked evap hose/canister, found issue consistent with evap system leak.",EVAP hose/canister,EVAP system leak
EV,B1318,12,27252,4,Bike came in with reduced range. 12v battery weak suspected after inspection.,12V battery,12V battery weak
Scooter,P0230,34,1102,1,"No prior complaints, code triggered during diagnostic scan. fuel pump relay fault confirmed on teardown.",Fuel pump relay,Fuel pump relay fault
Scooter,P0300,48,26758,3,"Customer reported power loss on acceleration. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
Scooter,P0130,60,52618,6,Routine service flagged power loss on acceleration. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
EV,B1318,38,7957,0,"Customer reported rough idling. Checked charging module, found issue consistent with charging system fault.",Charging module,Charging system fault
Scooter,P0620,28,11126,2,"Customer reported rough idling. Checked alternator, found issue consistent with alternator fault.",Alternator,Alternator fault
Scooter,P0303,56,784,0,Bike came in with warning light on dash. ignition coil fault suspected after inspection.,Ignition coil,Ignition coil fault
Scooter,P0480,32,25707,3,"Customer reported slow charging. Checked cooling fan, found issue consistent with cooling fan fault.",Cooling fan,Cooling fan fault
Scooter,P0304,57,16984,3,Bike came in with slow charging. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
Scooter,P0505,3,45860,5,"Customer reported rough idling. Checked idle air control valve, found issue consistent with idle air control valve fault.",Idle air control valve,Idle air control valve fault
ICE,P0455,58,12090,2,Bike came in with rough idling. evap purge valve fault suspected after inspection.,EVAP purge valve,EVAP purge valve fault
ICE,P0455,21,29918,4,Routine service flagged battery draining fast. Root cause traced to evap purge valve fault.,EVAP purge valve,EVAP purge valve fault
EV,EV0501,45,12092,0,Routine service flagged unusual noise. Root cause traced to dc-dc converter fault.,DC-DC converter,DC-DC converter fault
Scooter,P0705,6,18215,2,Routine service flagged slow charging. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0302,27,50687,5,"No prior complaints, code triggered during diagnostic scan. spark plug worn confirmed on teardown.",Spark plug,Spark plug worn
ICE,P0171,33,35848,3,Bike came in with rough idling. fuel pump weak suspected after inspection.,Fuel pump,Fuel pump weak
ICE,P0335,12,25034,4,Bike came in with rough idling. crank position sensor fault suspected after inspection.,Crank position sensor,Crank position sensor fault
ICE,P0455,58,38324,4,"Customer reported slow charging. Checked evap purge valve, found issue consistent with evap purge valve fault.",EVAP purge valve,EVAP purge valve fault
Scooter,P0141,49,47508,4,Routine service flagged power loss on acceleration. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,P0088,57,7946,0,Bike came in with rough idling. fuel pressure sensor fault suspected after inspection.,Fuel pressure sensor,Fuel pressure sensor fault
EV,EV0101,5,46316,4,Bike came in with power loss on acceleration. thermal sensor fault suspected after inspection.,Thermal sensor,Thermal sensor fault
Scooter,P0088,13,45543,6,Routine service flagged slow charging. Root cause traced to fuel pressure sensor fault.,Fuel pressure sensor,Fuel pressure sensor fault
EV,EV0311,48,21092,2,"No prior complaints, code triggered during diagnostic scan. main contactor fault confirmed on teardown.",Main contactor,Main contactor fault
Scooter,P0120,59,19447,1,Bike came in with battery draining fast. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0335,7,49326,5,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,EV0412,38,54160,6,Bike came in with battery draining fast. hv isolation fault suspected after inspection.,HV wiring/insulation,HV isolation fault
Scooter,P0455,24,18341,1,"Customer reported rough idling. Checked evap purge valve, found issue consistent with evap purge valve fault.",EVAP purge valve,EVAP purge valve fault
ICE,P0191,33,26366,3,Routine service flagged rough idling. Root cause traced to fuel pressure sensor fault.,Fuel pressure sensor,Fuel pressure sensor fault
Scooter,P0715,47,2297,0,"Customer reported battery draining fast. Checked input speed sensor, found issue consistent with input speed sensor fault.",Input speed sensor,Input speed sensor fault
ICE,P0302,53,24123,4,"Customer reported reduced range. Checked fuel injector, found issue consistent with fuel injector clog.",Fuel injector,Fuel injector clog
Scooter,P0505,27,50854,6,Routine service flagged slow charging. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
Scooter,P0455,16,13492,0,"Customer reported reduced range. Checked evap purge valve, found issue consistent with evap purge valve fault.",EVAP purge valve,EVAP purge valve fault
Scooter,P0340,14,31201,2,"No prior complaints, code triggered during diagnostic scan. cam position sensor fault confirmed on teardown.",Cam position sensor,Cam position sensor fault
Scooter,P0505,21,8686,2,Routine service flagged power loss on acceleration. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
Scooter,P0455,26,2005,1,Bike came in with warning light on dash. evap purge valve fault suspected after inspection.,EVAP purge valve,EVAP purge valve fault
EV,EV0501,3,18104,3,Bike came in with battery draining fast. dc-dc converter fault suspected after inspection.,DC-DC converter,DC-DC converter fault
ICE,P0480,5,44380,5,Routine service flagged warning light on dash. Root cause traced to cooling fan fault.,Cooling fan,Cooling fan fault
Scooter,P0507,26,12183,1,"No prior complaints, code triggered during diagnostic scan. idle air control valve fault confirmed on teardown.",Idle air control valve,Idle air control valve fault
EV,EV0205,7,12611,0,Routine service flagged power loss on acceleration. Root cause traced to motor phase wiring fault.,Motor phase wiring,Motor phase wiring fault
Scooter,P0455,11,26560,4,Routine service flagged battery draining fast. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
ICE,P0420,45,26067,2,"No prior complaints, code triggered during diagnostic scan. catalytic converter worn confirmed on teardown.",Catalytic converter,Catalytic converter worn
ICE,P0105,50,37542,4,"No prior complaints, code triggered during diagnostic scan. map sensor fault confirmed on teardown.",MAP sensor,MAP sensor fault
ICE,P0301,47,56081,6,"Customer reported power loss on acceleration. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
EV,EV0501,60,14814,0,"No prior complaints, code triggered during diagnostic scan. dc-dc converter fault confirmed on teardown.",DC-DC converter,DC-DC converter fault
Scooter,P0120,4,38110,4,Routine service flagged rough idling. Root cause traced to throttle position sensor fault.,Throttle position sensor,Throttle position sensor fault
ICE,P0455,55,24375,3,"No prior complaints, code triggered during diagnostic scan. evap purge valve fault confirmed on teardown.",EVAP purge valve,EVAP purge valve fault
Scooter,P0420,6,53800,7,"Customer reported slow charging. Checked o2 sensor, found issue consistent with oxygen sensor fault.",O2 sensor,Oxygen sensor fault
ICE,P0110,50,25829,2,Routine service flagged rough idling. Root cause traced to iat sensor fault.,IAT sensor,IAT sensor fault
Scooter,P0172,33,51166,5,Bike came in with rough idling. fuel pressure regulator fault suspected after inspection.,Fuel pressure regulator,Fuel pressure regulator fault
ICE,P0088,57,59567,6,"No prior complaints, code triggered during diagnostic scan. fuel pressure sensor fault confirmed on teardown.",Fuel pressure sensor,Fuel pressure sensor fault
EV,EV0205,28,8553,2,"No prior complaints, code triggered during diagnostic scan. motor phase wiring fault confirmed on teardown.",Motor phase wiring,Motor phase wiring fault
Scooter,P0303,3,29292,4,"Customer reported power loss on acceleration. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
